
================================================================================
Started Logging:     25.09.2024  13:26
Quantum Version:     Not available
================================================================================

25.09.2024 13:26:21 QC-Terminal: Serial port COM2

25.09.2024 13:26:28 QC-Terminal: Serial port COM3
help

WAR 08:47:45:887  01 Access_Para PG not mapped
WAR 08:47:45:947  01 Access_Para PG not mapped
WAR 08:47:46:007  01 Access_Para PG not mapped
WAR 08:47:46:067  01 Access_Para PG not mapped
WAR 08:47:46:127  01 Access_Para PG not mapped
WAR 08:47:46:187  01 Access_Para PG not mapped
WAR 08:47:46:247  01 Access_Para PG not mapped
WAR 08:47:46:307  01 Access_Para PG not mapped
WAR 08:47:46:367  01 Access_Para PG not mapped
WAR 08:47:46:427  01 Access_Para PG not mapped
WAR 08:47:46:487  01 Access_Para PG not mapped
WAR 08:47:46:547  01 Access_Para PG not mapped
WAR 08:47:46:607  01 Access_Para PG not mapped
WAR 08:47:46:711  01 Access_Para PG not mapped
WAR 08:47:46:772  01 Access_Para PG not mapped
WAR 08:47:46:877  01 Access_Para PG not mapped
WAR 08:47:46:937  01 Access_Para PG not mapped
WAR 08:47:47:041  01 Access_Para PG not mapped
WAR 08:47:47:102  01 Access_Para PG not mapped
WAR 08:47:47:207  01 Access_Para PG not mapped
WAR 08:47:47:267  01 Access_Para PG not mapped
WAR 08:47:47:327  01 Access_Para PG not mapped
WAR 08:47:47:431  01 Access_Para PG not mapped
WAR 08:47:47:492  01 Access_Para PG not mapped
WAR 08:47:47:551  01 Access_Para PG not mapped
WAR 08:47:47:611  01 Access_Para PG not mapped
WAR 08:47:47:672  01 Access_Para PG not mapped
WAR 08:47:47:731  01 Access_Para PG not mapped
WAR 08:47:47:792  01 Access_Para PG not mapped
WAR 08:47:47:851  01 Access_Para PG not mapped
WAR 08:47:47:911  01 Access_Para PG not mapped
WAR 08:47:47:972  01 Access_Para PG not mapped
WAR 08:47:48:031  01 Access_Para PG not mapped
WAR 08:47:48:091  01 Access_Para PG not mapped
WAR 08:47:48:151  01 Access_Para PG not mapped
WAR 08:47:48:211  01 Access_Para PG not mapped
WAR 08:47:48:272  01 Access_Para PG not mapped
WAR 08:47:48:331  01 Access_Para PG not mapped
WAR 08:47:48:391  01 Access_Para PG not mapped
WAR 08:47:48:451  01 Access_Para PG not mapped
WAR 08:47:48:511  01 Access_Para PG not mapped
WAR 08:47:48:572  01 Access_Para PG not mapped
WAR 08:47:48:631  01 Access_Para PG not mapped
WAR 08:47:48:941  01 Access_Para PG not mapped
WAR 08:47:49:001  01 Access_Para PG not mapped
WAR 08:47:49:061  01 Access_Para PG not mapped
WAR 08:47:49:122  01 Access_Para PG not mapped
WAR 08:47:49:181  01 Access_Para PG not mapped
WAR 08:47:49:241  01 Access_Para PG not mapped
WAR 08:47:49:301  01 Access_Para PG not mapped
WAR 08:47:49:362  01 Access_Para PG not mapped
WAR 08:47:49:422  01 Access_Para PG not mapped
